Reporter Name,Partner Name,Trade Flow,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 World,Cocos (Keeling) Islands,Import,Import Partner Share (%),0,0,0,0.0003,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0001,0,0,0.0001,0,0.0001,0,0.0001,0,0.0002,0,0.0001,0.0003,0,0,0.0001,0.0001,0,0,0
 World,Colombia,Import,Import Partner Share (%),0.1803,0.1329,0.1296,0.2559,0.2308,0.2075,0.2174,0.2242,0.217,0.2282,0.2253,0.2258,0.2163,0.2133,0.2047,0.1956,0.2015,0.2294,0.217,0.2199,0.2666,0.2733,0.2687,0.319,0.348,0.3319,0.3141,0.2493,0.2271,0.2339,0.2351
 World,Comoros,Import,Import Partner Share (%),0.0004,0.0003,0.0004,0.0008,0.0007,0.0005,0.0006,0.0003,0.0004,0.0003,0.0002,0.0004,0.0003,0.0007,0.0005,0.0005,0.0004,0.0003,0.0004,0.0003,0.0002,0.0003,0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0006
 World,"Congo, Dem. Rep.",Import,Import Partner Share (%),0.0608,0.0421,0.0314,0.0372,0.0238,0.0198,0.0189,0.0318,0.0318,0.0238,0.021,0.0212,0.0187,0.0196,0.0224,0.0144,0.0133,0.0144,0.0123,0.0152,0.0235,0.0227,0.0382,0.0406,0.0397,0.0415,0.0436,0.0395,0.0302,0.0472,0.0587
 World,"Congo, Rep.",Import,Import Partner Share (%),0.0184,0.0148,0.0139,0.0318,0.0337,0.0238,0.0252,0.0265,0.0317,0.0459,0.0288,0.0331,0.0485,0.0389,0.0339,0.0357,0.0458,0.0602,0.0782,0.0598,0.0792,0.0617,0.0732,0.0658,0.0616,0.0604,0.0599,0.0424,0.0353,0.0408,0.0592
 World,Cook Islands,Import,Import Partner Share (%),0.0002,0.0005,0.0004,0.0004,0.0002,0.0003,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,0.0001,0.0002,0.0002,0.0002,0.0003,0.0002
 World,Costa Rica,Import,Import Partner Share (%),0.0403,0.0321,0.0365,0.0931,0.0869,0.089,0.0889,0.0799,0.082,0.087,0.1076,0.1305,0.108,0.1001,0.1186,0.1396,0.1293,0.1245,0.1208,0.1207,0.1093,0.157,0.1764,0.1736,0.2004,0.1945,0.1795,0.0839,0.0841,0.0793,0.0709
 World,Cote d'Ivoire,Import,Import Partner Share (%),0.0691,0.0602,0.0571,0.0484,0.0555,0.0496,0.071,0.083,0.0925,0.0819,0.0903,0.0803,0.068,0.0617,0.0689,0.0678,0.0608,0.0567,0.0515,0.0535,0.0577,0.0642,0.0628,0.0591,0.0583,0.0559,0.0609,0.0642,0.0733,0.0708,0.0601
 World,Croatia,Import,Import Partner Share (%),,,,,0.0329,0.0476,0.0881,0.0747,0.069,0.0594,0.0601,0.055,0.0495,0.0542,0.0542,0.0649,0.0732,0.0708,0.073,0.0745,0.0719,0.0746,0.0687,0.0681,0.0639,0.0625,0.0702,0.0679,0.074,0.0765,0.0781
 World,Cuba,Import,Import Partner Share (%),0.0356,0.0488,0.0442,0.0276,0.0341,0.0191,0.026,0.0249,0.0356,0.0321,0.0263,0.0244,0.0209,0.0238,0.0212,0.0169,0.0231,0.0205,0.0206,0.026,0.0197,0.019,0.0185,0.02,0.0178,0.0168,0.0126,0.0115,0.01,0.0114,0.0096
