LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1970-Q1,Q1-1970,PC,Percentage,0,Units,,,2.07766919,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1970-Q2,Q2-1970,PC,Percentage,0,Units,,,2.011085716,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1970-Q3,Q3-1970,PC,Percentage,0,Units,,,-0.207287707,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1970-Q4,Q4-1970,PC,Percentage,0,Units,,,0.478194,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1971-Q1,Q1-1971,PC,Percentage,0,Units,,,1.208709039,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1971-Q2,Q2-1971,PC,Percentage,0,Units,,,0.431989848,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1971-Q3,Q3-1971,PC,Percentage,0,Units,,,3.142471397,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1971-Q4,Q4-1971,PC,Percentage,0,Units,,,-0.32304891,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1972-Q1,Q1-1972,PC,Percentage,0,Units,,,-1.213044649,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1972-Q2,Q2-1972,PC,Percentage,0,Units,,,2.23943554,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1972-Q3,Q3-1972,PC,Percentage,0,Units,,,-0.507588828,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1972-Q4,Q4-1972,PC,Percentage,0,Units,,,1.053866131,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1973-Q1,Q1-1973,PC,Percentage,0,Units,,,2.582319196,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1973-Q2,Q2-1973,PC,Percentage,0,Units,,,0.192334112,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1973-Q3,Q3-1973,PC,Percentage,0,Units,,,1.004186125,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1973-Q4,Q4-1973,PC,Percentage,0,Units,,,2.494689601,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1974-Q1,Q1-1974,PC,Percentage,0,Units,,,0.01947799,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1974-Q2,Q2-1974,PC,Percentage,0,Units,,,-2.017526777,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1974-Q3,Q3-1974,PC,Percentage,0,Units,,,1.200461104,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1974-Q4,Q4-1974,PC,Percentage,0,Units,,,0.095054794,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1975-Q1,Q1-1975,PC,Percentage,0,Units,,,0.395554718,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1975-Q2,Q2-1975,PC,Percentage,0,Units,,,3.157442151,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1975-Q3,Q3-1975,PC,Percentage,0,Units,,,-1.095794906,,
